model,rank,name,artist,trials,rejections,observed_rate,baseline_rate,excess_rate,choice_rate,score,z_value,p_value,q_value,rejected_tracks,qualifies
session_track,1,No Guidance (feat. Drake),Chris Brown,11,7,0.6363636363636364,0.22214045346507563,0.41422318289856075,0.07692307692307693,0.382359861137133,3.7458025078701795,8.99090079417512e-05,0.013651184372489224,,True
session_track,2,Go Crazy,Chris Brown,11,8,0.7272727272727273,0.3226464581199115,0.4046262691528158,0.125,0.3540479855087138,3.1956021565772303,0.0006976968748294184,0.026171896769576625,,True
session_track,3,Doves In The Wind (feat. Kendrick Lamar),SZA,10,5,0.5,0.13586009938824803,0.36413990061175194,0.07692307692307693,0.3361291390262326,3.5317841149974885,0.00020638309285419236,0.02484626478060006,,True
session_track,4,Laugh Now Cry Later (feat. Lil Durk),Drake,23,14,0.6086956521739131,0.2554744200782177,0.35322123209569534,0.1,0.3178991088861258,4.3740807707053735,6.0972612848126635e-06,0.003069181389522765,,True
session_track,5,If You Want Love,NF,12,7,0.5833333333333334,0.20016946719054488,0.38316386614278847,0.25,0.28737289960709134,3.7105098213271472,0.00010342113567970972,0.014876313884876141,,True
session_track,6,m y . l i f e (with 21 Savage & Morray),J. Cole,15,9,0.6,0.2519628103752878,0.3480371896247122,0.18181818181818182,0.28475770060203726,3.51704617229128,0.0002181889333093309,0.02484626478060006,,True
session_track,7,Arcade,Duncan Laurence,12,6,0.5,0.2005900156484126,0.2994099843515874,0.07142857142857142,0.2780235568979026,2.8930268084419137,0.0019077436452808556,0.03906774234048048,,True
session_track,8,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,31,16,0.5161290322580645,0.24379945777172243,0.2723295744863421,0.08333333333333333,0.2496354432791469,3.981675714780441,3.421555162227813e-05,0.0071931617372066265,,True
session_track,9,WAIT FOR U (feat. Drake & Tems),Future,17,8,0.47058823529411764,0.1456477559805679,0.3249404793135498,0.25925925925925924,0.2406966513433702,4.1000103039138,2.065658718755308e-05,0.005645445278358257,,True
session_track,10,Bloom,Aqyila,21,12,0.5714285714285714,0.25391782321198536,0.3175107482165861,0.26666666666666666,0.23284121535882982,3.767314458424954,8.250654816699011e-05,0.013294950297713284,,True
session_track,11,Pop Out (feat. Lil Tjay),Polo G,17,9,0.5294117647058824,0.2669979633766286,0.26241380132925374,0.16,0.22042759311657315,2.754440645822033,0.0029396276392628005,0.04383351796490946,,True
